id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
bf-V94Y6ABoHz6SX7-N1_A,oishii-boston-boston,Oishii Boston,https://s3-media3.fl.yelpcdn.com/bphoto/zqT3lenOgGQCq4iN_4pWYQ/o.jpg,False,https://www.yelp.com/biz/oishii-boston-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,797,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 42.343216559683, 'longitude': -71.066379535192}",['delivery'],$$$,"{'address1': '1166 Washington St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02118', 'country': 'US', 'state': 'MA', 'display_address': ['1166 Washington St', 'Boston, MA 02118']}",+16174828868,(617) 482-8868,651.3615541762954
oBEI6c3hWNUMIRP5oh8Ptw,laughing-monk-cafe-boston,Laughing Monk Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/_1EGNEIesl5WFvsSL1SeYw/o.jpg,False,https://www.yelp.com/biz/laughing-monk-cafe-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,295,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 42.3340845, 'longitude': -71.1053358}","['pickup', 'delivery']",$$,"{'address1': '737 Huntington Ave', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['737 Huntington Ave', 'Boston, MA 02115']}",+16172328000,(617) 232-8000,3205.2088811385315
VoH0dcofsPgKgT0OQWiuIQ,omori-izakaya-brookline-brookline-2,Omori Izakaya Brookline,https://s3-media4.fl.yelpcdn.com/bphoto/0bNMufTZ8_bFM4-Bho5-1w/o.jpg,False,https://www.yelp.com/biz/omori-izakaya-brookline-brookline-2?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,106,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': 42.332258, 'longitude': -71.117913}","['pickup', 'delivery']",$$,"{'address1': '195 Washington St', 'address2': None, 'address3': '', 'city': 'Brookline', 'zip_code': '02445', 'country': 'US', 'state': 'MA', 'display_address': ['195 Washington St', 'Brookline, MA 02445']}",+16175055924,(617) 505-5924,4208.5931199791
9gtpqrz-5bLzf6SlhYI3vA,nagomi-izakaya-boston,Nagomi Izakaya,https://s3-media4.fl.yelpcdn.com/bphoto/RBSxx10Asgl2EKi6sUmP4g/o.jpg,False,https://www.yelp.com/biz/nagomi-izakaya-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,36,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.0,"{'latitude': 42.34958, 'longitude': -71.09524}","['pickup', 'delivery']",,"{'address1': '636 Beacon St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['636 Beacon St', 'Boston, MA 02215']}",+16172678888,(617) 267-8888,1983.158812587348
i9Gi-LSagCrV6pLUfO2-3A,purple-shell-boston,Purple Shell,https://s3-media2.fl.yelpcdn.com/bphoto/mn--RtX4gOM0cN5Vz5FOLg/o.jpg,False,https://www.yelp.com/biz/purple-shell-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,153,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 42.34245, 'longitude': -71.05687}","['pickup', 'delivery']",$$$,"{'address1': '11 W Broadway', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02127', 'country': 'US', 'state': 'MA', 'display_address': ['11 W Broadway', 'Boston, MA 02127']}",+16179899982,(617) 989-9982,1317.8464324862423
Ud52z9ZOMZlKh7P0vuPegw,sushi-momento-brookline-3,Sushi Momento,https://s3-media3.fl.yelpcdn.com/bphoto/UAwf7paCTpHUujFSz2OaOw/o.jpg,False,https://www.yelp.com/biz/sushi-momento-brookline-3?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,121,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 42.33497, 'longitude': -71.15007}","['pickup', 'delivery']",$$,"{'address1': '399 Chestnut Hill Ave', 'address2': None, 'address3': '', 'city': 'Brookline', 'zip_code': '02445', 'country': 'US', 'state': 'MA', 'display_address': ['399 Chestnut Hill Ave', 'Brookline, MA 02445']}",+16175053460,(617) 505-3460,6633.138475981632
AHgRWXw3IMe5WHktt3f6Xg,crudo-boston,Crudo,https://s3-media4.fl.yelpcdn.com/bphoto/mVlPvKGvVPC6WwMcxWnUzA/o.jpg,False,https://www.yelp.com/biz/crudo-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,300,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 42.3636849645937, 'longitude': -71.0559069509264}","['pickup', 'delivery']",$$$,"{'address1': '78 Salem St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02113', 'country': 'US', 'state': 'MA', 'display_address': ['78 Salem St', 'Boston, MA 02113']}",+16173676500,(617) 367-6500,2166.0170104988056
1M6BZcFTnmXkxWDYqo6qPQ,irashai-sushi-and-teriyaki-boston,Irashai Sushi and Teriyaki,https://s3-media2.fl.yelpcdn.com/bphoto/SRkm3QohH1wF4eQ782v-1A/o.jpg,False,https://www.yelp.com/biz/irashai-sushi-and-teriyaki-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,541,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 42.35105, 'longitude': -71.06256}","['pickup', 'delivery']",$$,"{'address1': '8 Kneeland St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['8 Kneeland St', 'Boston, MA 02111']}",+16173506888,(617) 350-6888,795.2878743768599
GfuDpypk9ekc8OsMRTMJ0A,north-end-fish-market-boston-3,North End Fish Market,https://s3-media4.fl.yelpcdn.com/bphoto/mgLVOajpPeu5nmVy1ST8XQ/o.jpg,False,https://www.yelp.com/biz/north-end-fish-market-boston-3?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,329,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 42.36392, 'longitude': -71.0555399}","['pickup', 'delivery']",$$,"{'address1': '99 Salem St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02113', 'country': 'US', 'state': 'MA', 'display_address': ['99 Salem St', 'Boston, MA 02113']}",+18573627477,(857) 362-7477,2205.7203597417706
sA2gVTJOBH7Qk32p48ENdQ,saltie-girl-boston,Saltie Girl,https://s3-media4.fl.yelpcdn.com/bphoto/k4kCgobEKPxmj9R6TeDQDw/o.jpg,False,https://www.yelp.com/biz/saltie-girl-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,1487,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 42.35116, 'longitude': -71.07758}","['pickup', 'delivery']",$$$,"{'address1': '279 Dartmouth St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['279 Dartmouth St', 'Boston, MA 02116']}",+16172670691,(617) 267-0691,638.2135436456861
Jmyya_ylt3Bks4NTcyWgEg,zuma-boston-2,Zuma,https://s3-media4.fl.yelpcdn.com/bphoto/bBxf_-m3MYLACUBu3seQUA/o.jpg,False,https://www.yelp.com/biz/zuma-boston-2?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,216,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 42.345828481934674, 'longitude': -71.08400501356664}","['delivery', 'pickup']",$$$$,"{'address1': '1 Dalton St', 'address2': 'Fl 2', 'address3': None, 'city': 'Boston', 'zip_code': '02199', 'country': 'US', 'state': 'MA', 'display_address': ['1 Dalton St', 'Fl 2', 'Boston, MA 02199']}",+18574492500,(857) 449-2500,1072.408252304938
QXdEeuL4cA_KcGMrh5o5rA,sakanaya-boston-newton,Sakanaya Boston,https://s3-media2.fl.yelpcdn.com/bphoto/kgkwuJz1Mq0AemPXT4p59w/o.jpg,False,https://www.yelp.com/biz/sakanaya-boston-newton?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,195,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",4.5,"{'latitude': 42.3646105, 'longitude': -71.1977411}",[],$$,"{'address1': '232 California St', 'address2': '', 'address3': '', 'city': 'Newton', 'zip_code': '02458', 'country': 'US', 'state': 'MA', 'display_address': ['232 California St', 'Newton, MA 02458']}",+16172540009,(617) 254-0009,10560.199868444992
pNgDJTvALiSQvE6gK4b9MQ,umami-omakase-cambridge,Umami Omakase,https://s3-media1.fl.yelpcdn.com/bphoto/FzJev1JsUacVy63mIm-ynA/o.jpg,False,https://www.yelp.com/biz/umami-omakase-cambridge?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,92,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 42.396579, 'longitude': -71.129792}","['delivery', 'pickup', 'restaurant_reservation']",$$$$,"{'address1': '2372 Massachusetts Ave', 'address2': None, 'address3': '', 'city': 'Cambridge', 'zip_code': '02140', 'country': 'US', 'state': 'MA', 'display_address': ['2372 Massachusetts Ave', 'Cambridge, MA 02140']}",+16178682121,(617) 868-2121,7244.047506676375
BbnYarlqCZkR5PP-Gqy8oA,ichiban-yakitori-sushi-house-boston,Ichiban Yakitori Sushi House,https://s3-media2.fl.yelpcdn.com/bphoto/9cpQUBjWi0XYcNCAE9ZSvA/o.jpg,False,https://www.yelp.com/biz/ichiban-yakitori-sushi-house-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,179,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 42.3433111789979, 'longitude': -71.0866500982307}","['delivery', 'pickup']",$$,"{'address1': '14 Westland Ave', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['14 Westland Ave', 'Boston, MA 02115']}",+16172367907,(617) 236-7907,1362.7227964756528
DtpoEm-kp6mOBhsnpVzWlA,yamato-2-boston,Yamato 2,https://s3-media1.fl.yelpcdn.com/bphoto/vdwJNcy8JV8M_-IGYeoiJQ/o.jpg,False,https://www.yelp.com/biz/yamato-2-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,480,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'buffets', 'title': 'Buffets'}]",3.0,"{'latitude': 42.3505738, 'longitude': -71.0760342}","['delivery', 'pickup']",$$,"{'address1': '545 Boylston St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02116', 'country': 'US', 'state': 'MA', 'display_address': ['545 Boylston St', 'Boston, MA 02116']}",+18572504473,(857) 250-4473,502.9799516731346
SB6IVbyTvTWRAF3sQgklPQ,ruka-restobar-boston,RUKA Restobar,https://s3-media4.fl.yelpcdn.com/bphoto/oM78WeQLynWVpvQGCU2c4Q/o.jpg,False,https://www.yelp.com/biz/ruka-restobar-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,564,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",4.0,"{'latitude': 42.35454, 'longitude': -71.06173}",['delivery'],$$$,"{'address1': '505 Washington St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02111', 'country': 'US', 'state': 'MA', 'display_address': ['505 Washington St', 'Boston, MA 02111']}",+16172660102,(617) 266-0102,1098.5742375335471
dBEr7RLilPrgTCM2GxJcKA,love-art-sushi-boston,Love Art Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/ZQTNR9Rp0ENVo3GeTUBeDQ/o.jpg,False,https://www.yelp.com/biz/love-art-sushi-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,333,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 42.34662, 'longitude': -71.08747}","['delivery', 'pickup']",$$,"{'address1': '1 Haviland St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02115', 'country': 'US', 'state': 'MA', 'display_address': ['1 Haviland St', 'Boston, MA 02115']}",+16179826953,(617) 982-6953,1340.4357404605335
BYSyGNYhIqo0_75_s8OLpA,omori-izakaya-and-sushi-malden,Omori Izakaya and Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/pfyJ0phn7wNgOg5PnyYs6Q/o.jpg,False,https://www.yelp.com/biz/omori-izakaya-and-sushi-malden?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,49,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 42.42537031532622, 'longitude': -71.06342624201633}","['delivery', 'pickup']",,"{'address1': '166 Eastern Ave', 'address2': None, 'address3': '', 'city': 'Malden', 'zip_code': '02148', 'country': 'US', 'state': 'MA', 'display_address': ['166 Eastern Ave', 'Malden, MA 02148']}",+17813218600,(781) 321-8600,8644.652924529484
hZOYhhNMP_yiR7QJT4qawg,fish-market-sushi-bar-allston,Fish Market Sushi Bar,https://s3-media1.fl.yelpcdn.com/bphoto/zGFVaouwHUGIENm1aeiWOQ/o.jpg,False,https://www.yelp.com/biz/fish-market-sushi-bar-allston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,594,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 42.35291, 'longitude': -71.13298}","['delivery', 'pickup']",$$,"{'address1': '170 Brighton Ave', 'address2': '', 'address3': '', 'city': 'Allston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['170 Brighton Ave', 'Allston, MA 02134']}",+16177831268,(617) 783-1268,5106.631881211017
1JHyHC_guUaVwTi3m4Vu5g,zen-japanese-grill-and-sushi-bar-boston,Zen Japanese Grill & Sushi Bar,https://s3-media4.fl.yelpcdn.com/bphoto/JuSGeUvO6Du0rApP-gatPg/o.jpg,False,https://www.yelp.com/biz/zen-japanese-grill-and-sushi-bar-boston?adjust_creative=wthJPTmKTKIWSlWcsujVAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wthJPTmKTKIWSlWcsujVAA,319,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.0,"{'latitude': 42.358124, 'longitude': -71.062501}","['delivery', 'pickup']",$$,"{'address1': '21A Beacon St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02108', 'country': 'US', 'state': 'MA', 'display_address': ['21A Beacon St', 'Boston, MA 02108']}",+16173711230,(617) 371-1230,1350.298055238169
